Aspect,Emotion,Text
"['line', 'prayer room']","[[{'label': 'sadness', 'score': 0.009689624421298504}, {'label': 'joy', 'score': 0.8718135356903076}, {'label': 'love', 'score': 0.0990135595202446}, {'label': 'anger', 'score': 0.01375632919371128}, {'label': 'fear', 'score': 0.0045320275239646435}, {'label': 'surprise', 'score': 0.0011948839528486133}]]","When it arrives around before dusk, the line is not long. But here is a prayer room, don't worry."
"['dining area', 'food', 'filter water']","[[{'label': 'sadness', 'score': 0.003469607327133417}, {'label': 'joy', 'score': 0.9852370619773865}, {'label': 'love', 'score': 0.0023572964128106833}, {'label': 'anger', 'score': 0.006796883884817362}, {'label': 'fear', 'score': 0.0011851026210933924}, {'label': 'surprise', 'score': 0.0009540374157950282}]]","Fast-moving lane and self service. Spacious dining area, can pay extra for AC space. Food is above average. Took chicken, cockles, squid with a syrup drink is RM 22. You can get free filter water at the hand wash."
['nasi lemak'],"[[{'label': 'sadness', 'score': 0.0013413196429610252}, {'label': 'joy', 'score': 0.9964738488197327}, {'label': 'love', 'score': 0.0004348277871031314}, {'label': 'anger', 'score': 0.0005947561585344374}, {'label': 'fear', 'score': 0.0005948285106569529}, {'label': 'surprise', 'score': 0.0005603227182291448}]]",Their nasi lemak tasted normal.
"['que', 'ordering process']","[[{'label': 'sadness', 'score': 0.0018041139701381326}, {'label': 'joy', 'score': 0.09420374035835266}, {'label': 'love', 'score': 0.0027129878289997578}, {'label': 'anger', 'score': 0.8534577488899231}, {'label': 'fear', 'score': 0.04168770834803581}, {'label': 'surprise', 'score': 0.006133750546723604}]]","Had this famous nasi Lemak for breakfast today. Came at 8:30am (public holiday today). It was open and already half full. There was a que but it was moving fast, thanks to ordering process."
"['portions', 'food']","[[{'label': 'sadness', 'score': 0.0002636945864651352}, {'label': 'joy', 'score': 0.9979211688041687}, {'label': 'love', 'score': 0.001038845512084663}, {'label': 'anger', 'score': 0.00027077971026301384}, {'label': 'fear', 'score': 0.00014136781101115048}, {'label': 'surprise', 'score': 0.00036411549081094563}]]","Serving only nasi lemak, this huge restaurant offers various sides, fruit juices/smoothies, and desserts. There are 2 lines for either dining in or take out. Portions were not too big. The food was delicious. Lots of workers and plenty of "
"['clean', 'place', 'price']","[[{'label': 'sadness', 'score': 0.0019600526429712772}, {'label': 'joy', 'score': 0.9931898713111877}, {'label': 'love', 'score': 0.001667940290644765}, {'label': 'anger', 'score': 0.0012555764988064766}, {'label': 'fear', 'score': 0.0009766689036041498}, {'label': 'surprise', 'score': 0.000949795707128942}]]",Nice and clean place. Price reasonable. Can try.
"['food', 'price']","[[{'label': 'sadness', 'score': 0.00994091760367155}, {'label': 'joy', 'score': 0.9151105284690857}, {'label': 'love', 'score': 0.0036616658326238394}, {'label': 'anger', 'score': 0.06875220686197281}, {'label': 'fear', 'score': 0.0009052632376551628}, {'label': 'surprise', 'score': 0.0016294163651764393}]]","The food is very delicious and great!. Cheap price, recommend everyone to try it!!!"
"['taste', 'sambal']","[[{'label': 'sadness', 'score': 0.0008282499620690942}, {'label': 'joy', 'score': 0.0025958060286939144}, {'label': 'love', 'score': 0.9886528849601746}, {'label': 'anger', 'score': 0.003619024297222495}, {'label': 'fear', 'score': 0.001290048472583294}, {'label': 'surprise', 'score': 0.0030139328446239233}]]",Good to try. Taste better. But sambal not hot.
"['food', 'service']","[[{'label': 'sadness', 'score': 0.6221145391464233}, {'label': 'joy', 'score': 0.0022220900282263756}, {'label': 'love', 'score': 0.0006424832390621305}, {'label': 'anger', 'score': 0.367695152759552}, {'label': 'fear', 'score': 0.006692319642752409}, {'label': 'surprise', 'score': 0.0006334829377010465}]]","Don't buy their food online. Terrible service, after 1 hour still in process with an excuse that they have too many customers onsite. Asked for refund also not prompt"
['sambal'],"[[{'label': 'sadness', 'score': 0.00045843367115594447}, {'label': 'joy', 'score': 0.9966140389442444}, {'label': 'love', 'score': 0.0018990641692653298}, {'label': 'anger', 'score': 0.0004294153186492622}, {'label': 'fear', 'score': 0.00022558752971235663}, {'label': 'surprise', 'score': 0.00037337769754230976}]]",The sambal so delicious 
"['food', 'sambal', 'portion', 'price', 'portion', 'portion']","[[{'label': 'sadness', 'score': 0.21367613971233368}, {'label': 'joy', 'score': 0.3686217665672302}, {'label': 'love', 'score': 0.010259848088026047}, {'label': 'anger', 'score': 0.28943830728530884}, {'label': 'fear', 'score': 0.10869456827640533}, {'label': 'surprise', 'score': 0.009309392422437668}]]","The overall food is okay. The sambal is good. The portion of nasi lemak is very small compared to the price. Even for someone like me who eats less rice, the portion seems insufficient. Hehe, but overall, it's okay; there is just a need for improvement in terms of portion. Thank you"
"['service', 'nasi lemak', 'drink']","[[{'label': 'sadness', 'score': 0.0016768844798207283}, {'label': 'joy', 'score': 0.8157925605773926}, {'label': 'love', 'score': 0.16765443980693817}, {'label': 'anger', 'score': 0.00903165340423584}, {'label': 'fear', 'score': 0.001998430583626032}, {'label': 'surprise', 'score': 0.003846133127808571}]]",Fast service. Delicious nasi lemak. Tasty drink
['staff'],"[[{'label': 'sadness', 'score': 0.001115216058678925}, {'label': 'joy', 'score': 0.9878057241439819}, {'label': 'love', 'score': 0.002375273033976555}, {'label': 'anger', 'score': 0.006631975062191486}, {'label': 'fear', 'score': 0.001144874026067555}, {'label': 'surprise', 'score': 0.000926931097637862}]]","Ate here today... whoa, they need to tell the staff to smile more"
"['food', 'server', 'price', 'price', 'dish']","[[{'label': 'sadness', 'score': 0.019164983183145523}, {'label': 'joy', 'score': 0.6260015368461609}, {'label': 'love', 'score': 0.007921380922198296}, {'label': 'anger', 'score': 0.33798086643218994}, {'label': 'fear', 'score': 0.004135376773774624}, {'label': 'surprise', 'score': 0.004795880988240242}]]","The food server is very rude. No need to sit in front, sis, if you're going to treat people like that. The price of the dishes is considered cheap because the chicken is big. But charging the same price for rice and the dish is just not right. It's ridiculously minimal; you want to charge RM5.50 for this?! Capitalist"
"['food', 'environment', 'chili sauce']","[[{'label': 'sadness', 'score': 0.0007023120997473598}, {'label': 'joy', 'score': 0.02876969240605831}, {'label': 'love', 'score': 0.9655871391296387}, {'label': 'anger', 'score': 0.00224359636195004}, {'label': 'fear', 'score': 0.0007900995551608503}, {'label': 'surprise', 'score': 0.0019072259310632944}]]","Not so hype, and the food was okay. The environment was good. The chili sauce was kind of sweet for me which I do not prefer."
['parking'],"[[{'label': 'sadness', 'score': 0.04090908542275429}, {'label': 'joy', 'score': 0.34075868129730225}, {'label': 'love', 'score': 0.013754722662270069}, {'label': 'anger', 'score': 0.23534661531448364}, {'label': 'fear', 'score': 0.34938284754753113}, {'label': 'surprise', 'score': 0.019848046824336052}]]",Limited parking space but accessible..
"['sambal', 'crowded']","[[{'label': 'sadness', 'score': 0.022416600957512856}, {'label': 'joy', 'score': 0.00400309544056654}, {'label': 'love', 'score': 0.0007803397602401674}, {'label': 'anger', 'score': 0.9159384965896606}, {'label': 'fear', 'score': 0.055587850511074066}, {'label': 'surprise', 'score': 0.0012737184297293425}]]","For me, it's kind of overrated because to me the sambal was ordinary...but serves many kinds of dishes too. Parking: Very crowded area, must pay to park at the parking area nearby"
"['portion', 'rice']","[[{'label': 'sadness', 'score': 0.006391617469489574}, {'label': 'joy', 'score': 0.9833383560180664}, {'label': 'love', 'score': 0.002548340242356062}, {'label': 'anger', 'score': 0.005276545416563749}, {'label': 'fear', 'score': 0.0016633484046906233}, {'label': 'surprise', 'score': 0.0007817976293154061}]]",Okay the portion of the rice is small
"['sotong', 'sambal', 'rice', 'parking', 'price']","[[{'label': 'sadness', 'score': 0.0009524889755994081}, {'label': 'joy', 'score': 0.9961329698562622}, {'label': 'love', 'score': 0.0010690671624615788}, {'label': 'anger', 'score': 0.0009879450080916286}, {'label': 'fear', 'score': 0.00043604211532510817}, {'label': 'surprise', 'score': 0.0004213849315419793}]]",Took sotong which was ok. Sambal good but on the sweet side. Rice was a total let down. It was soggy and wet with no hint of coconut milk. Overall a bit overrated. Nasi lemak RM 10 and Nescafe drink RM4. Parking RM5. Price wise ok.
"['squid', 'chili gravy', 'rice', 'parking', 'price']","[[{'label': 'sadness', 'score': 0.0009524889755994081}, {'label': 'joy', 'score': 0.9961329698562622}, {'label': 'love', 'score': 0.0010690671624615788}, {'label': 'anger', 'score': 0.0009879450080916286}, {'label': 'fear', 'score': 0.00043604211532510817}, {'label': 'surprise', 'score': 0.0004213849315419793}]]",Took squid which was ok. The chili gravy good but on the sweet side. Rice was a total let down. It was soggy and wet with no hint of coconut milk. Overall a bit overrated. Nasi lemak RM 10 and Nescafe drink RM4. Parking RM5. Price wise ok.
['staff'],"[[{'label': 'sadness', 'score': 0.03408689424395561}, {'label': 'joy', 'score': 0.9245631098747253}, {'label': 'love', 'score': 0.0025115145836025476}, {'label': 'anger', 'score': 0.03349263221025467}, {'label': 'fear', 'score': 0.003998131025582552}, {'label': 'surprise', 'score': 0.0013478592736646533}]]",Can get crowded but they have ample staff so things are cleaned quick
"['staff', 'food', 'portion']","[[{'label': 'sadness', 'score': 0.039564356207847595}, {'label': 'joy', 'score': 0.08138324320316315}, {'label': 'love', 'score': 0.004851125180721283}, {'label': 'anger', 'score': 0.8520675897598267}, {'label': 'fear', 'score': 0.019517244771122932}, {'label': 'surprise', 'score': 0.002616479294374585}]]","Service that's less friendly from the front-of-house staff. The food is tasty. The portion of rice is too little. When selling, don't be stingy with blessings. Share a smile :)"
"['nasi lemak', 'sambal']","[[{'label': 'sadness', 'score': 0.0009247261914424598}, {'label': 'joy', 'score': 0.030276553705334663}, {'label': 'love', 'score': 0.9645163416862488}, {'label': 'anger', 'score': 0.002040419029071927}, {'label': 'fear', 'score': 0.0010253876680508256}, {'label': 'surprise', 'score': 0.001216571545228362}]]",The nasi lemak is just average. The sambal is too sweet
"['nasi lemak', 'squid', 'portion']","[[{'label': 'sadness', 'score': 0.0024601805489510298}, {'label': 'joy', 'score': 0.29298800230026245}, {'label': 'love', 'score': 0.6981891393661499}, {'label': 'anger', 'score': 0.0032412330619990826}, {'label': 'fear', 'score': 0.001433145022019744}, {'label': 'surprise', 'score': 0.0016882518539205194}]]",Meets expectations. The nasi lemak is really delicious. The squid is incredibly tender. The portion is generous.
"['nasi lemak', 'parking']","[[{'label': 'sadness', 'score': 0.007331163622438908}, {'label': 'joy', 'score': 0.012532847933471203}, {'label': 'love', 'score': 0.0029453919269144535}, {'label': 'anger', 'score': 0.873576819896698}, {'label': 'fear', 'score': 0.10054567456245422}, {'label': 'surprise', 'score': 0.003067974466830492}]]",Best nasi lemak in town. Parking: Limited parking
"['nasi lemak', 'expensive']","[[{'label': 'sadness', 'score': 0.08178532123565674}, {'label': 'joy', 'score': 0.11981196701526642}, {'label': 'love', 'score': 0.009079793468117714}, {'label': 'anger', 'score': 0.7786935567855835}, {'label': 'fear', 'score': 0.006376645062118769}, {'label': 'surprise', 'score': 0.004252754617482424}]]",overrated nasi lemak. sorry. expensive to me
"['food', 'price']","[[{'label': 'sadness', 'score': 0.17031021416187286}, {'label': 'joy', 'score': 0.3740791380405426}, {'label': 'love', 'score': 0.007746957242488861}, {'label': 'anger', 'score': 0.43686407804489136}, {'label': 'fear', 'score': 0.0071175554767251015}, {'label': 'surprise', 'score': 0.0038821122143417597}]]","The food tastes normal. The price, it's expensive"
"['place', 'staff', 'portion', 'dishes', 'air - conditioned area']","[[{'label': 'sadness', 'score': 0.009575963020324707}, {'label': 'joy', 'score': 0.567190945148468}, {'label': 'love', 'score': 0.009317166171967983}, {'label': 'anger', 'score': 0.23170891404151917}, {'label': 'fear', 'score': 0.1599433571100235}, {'label': 'surprise', 'score': 0.022263692691922188}]]","Clean place. Efficient staff. They sweep whenever they see trash. But the issue is, the rice portion is very small. The dishes are delicious, but there's too little. Two bites, and it's gone. Hmm. Even sitting in the air-conditioned area has a charge. Please give a bit more rice."
"['taste', 'pricy']","[[{'label': 'sadness', 'score': 0.001086309552192688}, {'label': 'joy', 'score': 0.9796227812767029}, {'label': 'love', 'score': 0.009789526462554932}, {'label': 'anger', 'score': 0.006050451193004847}, {'label': 'fear', 'score': 0.001628378638997674}, {'label': 'surprise', 'score': 0.0018224507803097367}]]",The taste is too salty. It's too pricy. Parking: No parking lot
"['nasi lemak', 'parking', 'avocado smoothies', 'avocado']","[[{'label': 'sadness', 'score': 0.0299371425062418}, {'label': 'joy', 'score': 0.007237688172608614}, {'label': 'love', 'score': 0.008932222612202168}, {'label': 'anger', 'score': 0.8780910968780518}, {'label': 'fear', 'score': 0.0736112967133522}, {'label': 'surprise', 'score': 0.0021905493922531605}]]","2 stars because their nasi lemak just taste ok. Nothing special. Not worth my time to find parking and have to queue for food. Their avocado smoothies is the worst i ever taste! They use unripe avocado. It taste extremely bitter. End up have to throw away , waste my RM7"
"['nasi lemak', 'parking', 'avocado smoothies']","[[{'label': 'sadness', 'score': 0.0009886214975267649}, {'label': 'joy', 'score': 0.0002565432514529675}, {'label': 'love', 'score': 0.000869451614562422}, {'label': 'anger', 'score': 0.9972077012062073}, {'label': 'fear', 'score': 0.0003431947552599013}, {'label': 'surprise', 'score': 0.00033445892040617764}]]","2 stars because their nasi lemak just taste ok. Nothing special. Not worth my time to find parking and have to queue for food. Their avocado smoothies is the worst i ever taste ,it taste extremely bitter. End up have to throw away , waste my RM7"
"['place', 'service']","[[{'label': 'sadness', 'score': 0.005858865100890398}, {'label': 'joy', 'score': 0.9558987617492676}, {'label': 'love', 'score': 0.0031183455139398575}, {'label': 'anger', 'score': 0.020472947508096695}, {'label': 'fear', 'score': 0.011873031966388226}, {'label': 'surprise', 'score': 0.002778192749246955}]]","Such a nice place, very comfortable. Fast service"
"['nasi lemak', 'service', 'portion']","[[{'label': 'sadness', 'score': 0.031492285430431366}, {'label': 'joy', 'score': 0.76535564661026}, {'label': 'love', 'score': 0.011170297861099243}, {'label': 'anger', 'score': 0.17284174263477325}, {'label': 'fear', 'score': 0.011873751878738403}, {'label': 'surprise', 'score': 0.007266333792358637}]]","The Nasi Lemak was tasty. Enjoyed it thoroughly, super fast service too. However, the rice portion was quite small, but one may ask for extra rice ( chargeable RM1). Worth it, recommended!"
"['parking', 'service']","[[{'label': 'sadness', 'score': 0.0008575243991799653}, {'label': 'joy', 'score': 0.9948297142982483}, {'label': 'love', 'score': 0.0013460370246320963}, {'label': 'anger', 'score': 0.0010883178329095244}, {'label': 'fear', 'score': 0.0009683641837909818}, {'label': 'surprise', 'score': 0.0009101330651901662}]]",Parking is rather difficult ... for motorized people ... easy. Fast service ..
['nasi lemak'],"[[{'label': 'sadness', 'score': 0.002795484149828553}, {'label': 'joy', 'score': 0.8916251063346863}, {'label': 'love', 'score': 0.09622588008642197}, {'label': 'anger', 'score': 0.004862674046307802}, {'label': 'fear', 'score': 0.0014403959503397346}, {'label': 'surprise', 'score': 0.0030502998270094395}]]",Nice nasi lemak. One of the best I had in KL. Thumbs up
"['neat', 'clean', 'seating', 'food']","[[{'label': 'sadness', 'score': 0.0003521340258885175}, {'label': 'joy', 'score': 0.9986085295677185}, {'label': 'love', 'score': 0.0003939181624446064}, {'label': 'anger', 'score': 0.00020038762886542827}, {'label': 'fear', 'score': 0.00016139248327817768}, {'label': 'surprise', 'score': 0.0002837089996319264}]]","The place is very neat and clean. Very comfortable seating. As for the food, it's not as delicious as I expected. I couldn't finish eating, to be honest."
"['food', 'service']","[[{'label': 'sadness', 'score': 0.0010273678926751018}, {'label': 'joy', 'score': 0.9960337281227112}, {'label': 'love', 'score': 0.0014132695505395532}, {'label': 'anger', 'score': 0.0008971926872618496}, {'label': 'fear', 'score': 0.00016110150318127126}, {'label': 'surprise', 'score': 0.00046721662511117756}]]",The food does not follow my liking. Service was great though.
"['sambal', 'pricey']","[[{'label': 'sadness', 'score': 0.01485913060605526}, {'label': 'joy', 'score': 0.8952383399009705}, {'label': 'love', 'score': 0.06021915003657341}, {'label': 'anger', 'score': 0.019720375537872314}, {'label': 'fear', 'score': 0.005218779668211937}, {'label': 'surprise', 'score': 0.0047441888600587845}]]",The sambal is not spicy but a bit sweet. Quite pricey
"['place', 'parking']","[[{'label': 'sadness', 'score': 0.0036675105802714825}, {'label': 'joy', 'score': 0.9870957136154175}, {'label': 'love', 'score': 0.0011017683427780867}, {'label': 'anger', 'score': 0.00547053711488843}, {'label': 'fear', 'score': 0.0020081126131117344}, {'label': 'surprise', 'score': 0.0006564143695868552}]]",An excellent place to enjoy traditional nasi lemak in the heart of Kuala Lumpur. The only challenge is to find a good parking slot but quite a several slots are there for a fee... it is a must try.
"['sambal', 'taste', 'pricey']","[[{'label': 'sadness', 'score': 0.06722912192344666}, {'label': 'joy', 'score': 0.1188412755727768}, {'label': 'love', 'score': 0.011143883690237999}, {'label': 'anger', 'score': 0.7922287583351135}, {'label': 'fear', 'score': 0.007829912006855011}, {'label': 'surprise', 'score': 0.0027269679121673107}]]","The sambal is overly salty. Overall taste is just average, a lot of roadside nasi lemak at other places are much better than wanjo. The reviewers have overrated wanjo. I also ordered an additional small bowl of plain rice, they charged RM3. This is extremely pricey and I will not go back again."
"['fried', 'chicken', 'rendang', 'ayam masak merah', 'queue']","[[{'label': 'sadness', 'score': 0.0011444801930338144}, {'label': 'joy', 'score': 0.9893544912338257}, {'label': 'love', 'score': 0.0006784727447666228}, {'label': 'anger', 'score': 0.005334381014108658}, {'label': 'fear', 'score': 0.0011943872086703777}, {'label': 'surprise', 'score': 0.0022937559988349676}]]",Fried chicken also quite a letdown with minimal rempah to flood the nasi lemak. Enjoyed the rendang and ayam masak merah. The variety available. Fast-moving queue is a plus!
"['parking', 'nasi lemak', 'price']","[[{'label': 'sadness', 'score': 0.0005554825183935463}, {'label': 'joy', 'score': 0.9977929592132568}, {'label': 'love', 'score': 0.0006755867507308722}, {'label': 'anger', 'score': 0.0004693169903475791}, {'label': 'fear', 'score': 0.00023005978437140584}, {'label': 'surprise', 'score': 0.0002765188692137599}]]",Parking is an issue. But the restaurant provides a good tasty nasi lemak. Price is still acceptable. They have a different lane for dine in and take-away. There are many other restaurants around. Surrounding looks very packed.
"['nasi lemak', 'chicken']","[[{'label': 'sadness', 'score': 0.6895480751991272}, {'label': 'joy', 'score': 0.19128921627998352}, {'label': 'love', 'score': 0.036317210644483566}, {'label': 'anger', 'score': 0.05081147328019142}, {'label': 'fear', 'score': 0.024022314697504044}, {'label': 'surprise', 'score': 0.008011863566935062}]]",Sad nasi lemak. The chicken is so dry. My supper is so sad.
"['clean', 'nasi lemak', 'sambal', 'beef rendang']","[[{'label': 'sadness', 'score': 0.0003647722187452018}, {'label': 'joy', 'score': 0.9978331923484802}, {'label': 'love', 'score': 0.001115209306590259}, {'label': 'anger', 'score': 0.0002900819235946983}, {'label': 'fear', 'score': 0.00016013093409128487}, {'label': 'surprise', 'score': 0.00023656929261051118}]]","Very clean environment, and lots of fans to keep you cool. Nasi lemak is very nice. The sambal is excessively sweet, and I find it unpleasant. Beef rendang is very delicious"
"['service', 'food']","[[{'label': 'sadness', 'score': 0.00023415475152432919}, {'label': 'joy', 'score': 0.9969845414161682}, {'label': 'love', 'score': 0.0021806349977850914}, {'label': 'anger', 'score': 0.0002411079767625779}, {'label': 'fear', 'score': 0.0001124895570683293}, {'label': 'surprise', 'score': 0.0002470385516062379}]]",Service is satisfactory. The food is delicious.
